Series Description,EURO,US$/POUND,BRAZIL ,CHINA,DENMARK,INDIA,JAPAN,KOREA,MALAYSIA,MEXICO,NORWAY,SWEDEN,SOUTH AFRICA,SINGAPORE,SWITZERLAND,TAIWAN,THAILAND,VENEZUELA ,Nominal Broad Dollar Index ,Nominal Major Currencies Dollar Index ,Nominal Other Important Trading Partners Dollar Index ,US$/AU$,S$/NZ$,CANADA,HONG KONG,SRI LANKA
1/4/1971,,2.3938,,,7.485,,357.73,,3.0867,,7.1359,5.1643,,,4.318,,,,,,,1.1127,1.1138,1.0109,,
1/5/1971,,2.3949,,,7.4872,,357.81,,3.0861,,7.1422,5.1628,,,4.3117,,,,,,,1.1132,1.1143,1.0102,,
1/6/1971,,2.3967,,,7.4839,,357.86,,3.0845,,7.1367,5.1614,,,4.3113,,,,,,,1.114,1.1151,1.0106,,
1/7/1971,,2.3963,,,7.485,,357.87,,3.085,,7.1386,5.1649,,,4.3103,,,,,,,1.1138,1.115,1.0148,,
1/8/1971,,2.3972,,,7.485,,357.82,,3.0845,,7.1382,5.1631,,,4.3109,,,,,,,1.1124,1.1154,1.0154,,
1/11/1971,,2.3992,,,7.485,,357.95,,3.0814,,7.139,5.1642,,,4.3102,,,,,,,1.1152,1.1163,1.0159,,
1/12/1971,,2.4001,,,7.4849,,358.06,,3.0807,,7.1411,5.1643,,,4.3099,,,,,,,1.1156,1.1167,1.013,,
1/13/1971,,2.4021,,,7.4812,,358.44,,3.0782,,7.139,5.1615,,,4.3095,,,,,,,1.1165,1.1177,1.0122,,
1/14/1971,,2.4071,,,7.4844,,358.4,,3.075,,7.1403,5.1625,,,4.3095,,,,,,,1.1189,1.12,1.0133,,
1/15/1971,,2.4057,,,7.4839,,358.4,,3.0764,,7.1414,5.164,,,4.3076,,,,,,,1.1182,1.1193,1.0135,,
1/18/1971,,2.4052,,,7.4836,,358.29,,3.0755,,7.1406,5.1651,,,4.3029,,,,,,,1.1179,1.1191,1.0126,,
1/19/1971,,2.4081,,,7.4836,,358.35,,3.0719,,7.1429,5.1657,,,4.3006,,,,,,,1.1193,1.1205,1.0111,,
1/20/1971,,2.408,,,7.4833,,358.4,,3.0725,,7.1429,5.1636,,,4.301,,,,,,,1.1193,1.1204,1.0115,,
1/21/1971,,2.4092,,,7.4848,,358.27,,3.0716,,7.1443,5.1648,,,4.3017,,,,,,,1.1198,1.121,1.0109,,
1/22/1971,,2.4103,,,7.485,,357.9,,3.0703,,7.1429,5.1626,,,4.2996,,,,,,,1.1204,1.1215,1.0117,,
1/25/1971,,2.4147,,,7.4867,,357.73,,3.0675,,7.1435,5.1626,,,4.3005,,,,,,,1.1224,1.1236,1.0111,,
1/26/1971,,2.416,,,7.4848,,357.78,,3.0665,,7.1443,5.164,,,4.2987,,,,,,,1.123,1.1241,1.0107,,
1/27/1971,,2.4161,,,7.4834,,357.79,,3.0653,,7.1414,5.1635,,,4.2973,,,,,,,1.123,1.1242,1.0101,,
1/28/1971,,2.4169,,,7.4853,,357.83,,3.0653,,7.1431,5.1653,,,4.2978,,,,,,,1.1234,1.1246,1.009,,
1/29/1971,,2.4174,,,7.4868,,357.72,,3.0647,,7.1445,5.1675,,,4.2963,,,,,,,1.1236,1.1248,1.008,,
2/1/1971,,2.4184,,,7.4858,,357.67,,3.0631,,7.1465,5.1778,,,4.2968,,,,,,,1.1241,1.1253,1.0076,,
2/2/1971,,2.4181,,,7.4858,,357.55,,3.065,,7.1465,5.1778,,,4.2969,,,,,,,1.124,1.1251,1.0087,,
2/3/1971,,2.4184,,,7.4844,,357.54,,3.0647,,7.1439,5.1742,,,4.2965,,,,,,,1.1241,1.1253,1.0085,,
2/4/1971,,2.4167,,,7.4854,,357.51,,3.0687,,7.1431,5.1733,,,4.2966,,,,,,,1.1233,1.1245,1.0078,,
2/5/1971,,2.4147,,,7.4875,,357.53,,3.0689,,7.1435,5.1784,,,4.2969,,,,,,,1.1224,1.1235,1.0078,,
2/8/1971,,2.4182,,,7.4874,,357.49,,3.0687,,7.1429,5.1813,,,4.2979,,,,,,,1.124,1.1252,1.0083,,
2/9/1971,,2.4151,,,7.485,,357.5,,3.0691,,7.1397,5.1811,,,4.2969,,,,,,,1.1226,1.1237,1.0083,,
2/10/1971,,2.4159,,,7.4883,,357.5,,3.0665,,7.1412,5.1799,,,4.2972,,,,,,,1.1229,1.1241,1.0086,,
2/11/1971,,2.4158,,,7.4881,,357.5,,3.0665,,7.141,5.1778,,,4.2967,,,,,,,1.1229,1.124,1.0086,,
2/12/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
2/15/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
2/16/1971,,2.4193,,,7.4881,,357.53,,3.0659,,7.1406,5.1752,,,4.2968,,,,,,,1.1245,1.1257,1.0084,,
2/17/1971,,2.4193,,,7.4846,,357.53,,3.065,,7.139,5.1706,,,4.2968,,,,,,,1.1245,1.1257,1.0087,,
2/18/1971,,2.4191,,,7.4848,,357.53,,3.065,,7.1418,5.17,,,4.2967,,,,,,,1.1244,1.1256,1.0076,,
2/19/1971,,2.419,,,7.4864,,357.56,,3.065,,7.1437,5.1692,,,4.2963,,,,,,,1.1244,1.1255,1.0066,,
2/22/1971,,2.4192,,,7.4841,,357.6,,3.065,,7.1434,5.1664,,,4.2958,,,,,,,1.1245,1.1256,1.0043,,
2/23/1971,,2.4193,,,7.4832,,357.55,,3.065,,7.1429,5.161,,,4.2957,,,,,,,1.1245,1.1257,1.0035,,
2/24/1971,,2.4193,,,7.4828,,357.6,,3.065,,7.1418,5.1631,,,4.3015,,,,,,,1.1245,1.1257,1.0075,,
2/25/1971,,2.4177,,,7.4818,,357.56,,3.0656,,7.1414,5.1652,,,4.3073,,,,,,,1.1238,1.1249,1.0066,,
2/26/1971,,2.416,,,7.4834,,357.56,,3.0662,,7.142,5.1652,,,4.307,,,,,,,1.123,1.1241,1.007,,
3/1/1971,,2.4162,,,7.4826,,357.63,,3.0675,,7.1416,5.1631,,,4.3073,,,,,,,1.1231,1.1242,1.0076,,
3/2/1971,,2.4184,,,7.4826,,357.56,,3.0669,,7.1413,5.1638,,,4.3054,,,,,,,1.1241,1.1253,1.0071,,
3/3/1971,,2.4193,,,7.4794,,357.49,,3.0659,,7.1376,5.1622,,,4.3039,,,,,,,1.1245,1.1257,1.0073,,
3/4/1971,,2.4179,,,7.4818,,357.45,,3.0662,,7.1389,5.1631,,,4.3068,,,,,,,1.1239,1.125,1.0064,,
3/5/1971,,2.4183,,,7.4834,,357.59,,3.0662,,7.1382,5.1631,,,4.3066,,,,,,,1.1241,1.1252,1.0047,,
3/8/1971,,2.4192,,,7.4825,,357.55,,3.0647,,7.1365,5.1635,,,4.302,,,,,,,1.1245,1.1256,1.003,,
3/9/1971,,2.4188,,,7.4816,,357.46,,3.0653,,7.1352,5.1644,,,4.3011,,,,,,,1.1244,1.1256,1.004,,
3/10/1971,,2.4192,,,7.4794,,357.59,,3.0653,,7.1352,5.1625,,,4.304,,,,,,,1.1245,1.1256,1.0036,,
